causality_actor_process_image_path,os_actor_process_image_path,os_actor_process_image_name,action_local_port,action_remote_ip,dst_action_external_hostname,action_remote_port,count_endpoints,is_standard_application,main_domain,main_subdomain,registered_domain
/System/Library/CoreServices/mapspushd,/System/Library/CoreServices/mapspushd,mapspushd,60172,23.41.188.242,a23-41-188-242.deploy.static.akamaitechnologies.com,443,1,TRUE,akamaitechnologies.com,a23-41-188-242.deploy.static.akamaitechnologies.com,akamaitechnologies.com
/System/Applications/Maps.app/Contents/MacOS/Maps,/System/Applications/Maps.app/Contents/MacOS/Maps,Maps,63813,17.253.7.75,usatl4-edge-get-003.b.aaplimg.com,443,1,TRUE,aaplimg.com,usatl4-edge-get-003.b.aaplimg.com,aaplimg.com
/System/Applications/Maps.app/Contents/MacOS/Maps,/System/Applications/Maps.app/Contents/MacOS/Maps,Maps,51022,88.221.0.118,weather-data.apple.com,443,1,TRUE,apple.com,weather-data.apple.com,apple.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,57183,142.250.0.109,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,65201,142.250.114.108,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,54611,142.250.123.109,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,51803,142.251.0.108,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,61055,64.233.186.109,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,60085,142.250.0.108,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
/System/Applications/Mail.app/Contents/MacOS/Mail,/System/Applications/Mail.app/Contents/MacOS/Mail,Mail,63730,64.233.190.109,imap.gmail.com,993,1,TRUE,gmail.com,imap.gmail.com,gmail.com
